scope,target,n,alpha,rmse,mae,bias,spearman,constant_rmse,centered_relative_rmse,absolute_rmse_beats_constant,role
test_1m,arxiv,256,1.0,0.579151724741212,0.486594921259642,0.17072541817775705,0.7446111810482947,0.7968727338169289,0.553416255506423,True,observed_heldout
test_1m,freelaw,256,0.01,0.48107885457138616,0.4183058280461566,0.03671300467680501,0.7696812771801326,0.7377561889376495,0.4796759527048628,True,observed_heldout
test_1m,pubmed_central,256,0.1,0.5294039174312016,0.45937017502769323,0.046241335797569616,0.8331418802929731,0.840775879515865,0.5273805520259152,True,observed_heldout
test_1m,wikipedia_en,256,0.1,0.2942936835422136,0.24631203070014154,-0.010507512487291256,0.8818250743877316,0.5463924616676074,0.29410604270258367,True,observed_heldout
test_1m,dm_mathematics,256,0.01,1.158720460894497,1.053232578654765,0.0425133846149113,0.7674668116273746,1.5392828252360697,1.1579402914762662,True,observed_heldout
test_1m,github,256,0.01,0.6119728112520411,0.50607940796936,0.14306740949511335,0.838052901121538,0.9439876197741489,0.5950146536448357,True,observed_heldout
test_1m,stackexchange,256,0.01,0.4477524950460622,0.37059631096108,0.09729585750365696,0.819406614785992,0.6759335543748375,0.43705355842574034,True,observed_heldout
test_1m,gutenberg_pg_19,256,0.1,0.2582268568762293,0.20189661009377297,0.020095501838489474,0.8892974650949874,0.4489563088982346,0.25744374223902955,True,observed_heldout
test_1m,pile_cc,256,0.01,0.15389646084425954,0.1247784773333159,0.002573443675340119,0.9007345788509955,0.32055026128181696,0.15387494288557366,True,observed_heldout
test_1m,ubuntu_irc,256,0.01,0.6505137539938817,0.5691565292923804,0.039369657897902546,0.7632639047837033,0.9994356224413369,0.6493213181254829,True,observed_heldout
test_1m,hackernews,256,0.001,0.19011172175825378,0.15554471990428015,0.016867815383785442,0.8437550068665597,0.33655534905631884,0.189361937976105,True,observed_heldout
test_1m,pubmed_abstracts,256,0.01,0.262821817152922,0.20341650330129527,0.007195766651749518,0.9226625085831998,0.5708445416742268,0.2627232926747408,True,observed_heldout
test_1m,uspto_backgrounds,256,0.1,0.27081186457228196,0.22573232887001882,0.021354144829033306,0.8521000228885328,0.5103829885899198,0.2699686398301415,True,observed_heldout
test_60m,arxiv,256,1.0,1.8261852747263805,1.7643248540510867,1.7643248540510867,0.7622689688715952,1.8487458476139358,0.47128597157678837,True,observed_heldout
test_60m,freelaw,256,0.01,1.444969088493251,1.3797596009505848,1.3797596009505848,0.7625479228656442,1.4594893975006749,0.42918423816083795,True,observed_heldout
test_60m,pubmed_central,256,0.1,1.7552288333094106,1.7100720417159414,1.7100720417159414,0.8522781242847333,1.8416701067666583,0.3955778929897196,True,observed_heldout
test_60m,wikipedia_en,256,0.1,1.3704447211707227,1.3418034057842503,1.3418034057842503,0.8834737640192262,1.4375615964170687,0.27871554318065306,True,observed_heldout
test_60m,dm_mathematics,256,0.01,1.5581854773788024,1.417308379563633,1.343549477067616,0.7521164740215153,1.6281960732152652,0.789187420443041,True,observed_heldout
test_60m,github,256,0.01,2.634377819388772,2.582672095136939,2.582672095136939,0.8406700617990385,2.7329355617369973,0.5193759180868104,True,observed_heldout
test_60m,stackexchange,256,0.01,1.765063681173524,1.7204529927145882,1.7204529927145882,0.818485351338979,1.8356952098731887,0.394323849719046,True,observed_heldout
test_60m,gutenberg_pg_19,256,0.1,1.011357088697703,0.9889553252591332,0.9889553252591332,0.8938508525978485,1.0578906742377852,0.21168496758318772,True,observed_heldout
test_60m,pile_cc,256,0.01,1.078855340129898,1.0674763099345572,1.0674763099345572,0.8918996051728083,1.1045213840380566,0.15627914977788562,True,observed_heldout
test_60m,ubuntu_irc,256,0.01,2.0373596215892156,1.965821056888951,1.965821056888951,0.7603742275120163,2.1103503451899543,0.5351465219677318,True,observed_heldout
test_60m,hackernews,256,0.001,1.0090733189537513,0.9932118289704257,0.9932118289704257,0.8381151293202105,1.0364775891039528,0.1782111832000475,True,observed_heldout
test_60m,pubmed_abstracts,256,0.01,1.374699292579416,1.3494591523052453,1.3494591523052453,0.9201640821698327,1.4723713921075177,0.26221773639087687,True,observed_heldout
test_60m,uspto_backgrounds,256,0.1,1.4218594853804105,1.3977673402230129,1.3977673402230129,0.831399490730144,1.4593498779291232,0.26063549023901156,True,observed_heldout
test_1B,arxiv,64,1.0,3.2078542621884507,3.1944644417899664,3.1944644417899664,0.8646978021978022,3.251366252165028,0.2927898522492347,True,observed_heldout
test_1B,freelaw,64,0.01,3.368022043770035,3.36252993943474,3.36252993943474,0.7066849816849816,3.3031567466700396,0.19226256454621551,False,observed_heldout
test_1B,pubmed_central,64,0.1,3.388361886131875,3.3740712593147366,3.3740712593147366,0.7995879120879119,3.415188666892625,0.31086879621059327,True,observed_heldout
test_1B,wikipedia_en,64,0.1,3.30326544733148,3.301010482133432,3.301010482133432,0.8384615384615383,3.3059488221872013,0.12203447209395094,True,observed_heldout
test_1B,dm_mathematics,64,0.01,2.665456736794217,2.606795726742249,2.606795726742249,0.6868131868131867,2.361461370479928,0.5561255746322292,False,observed_heldout
test_1B,github,64,0.01,4.439418262274766,4.429723215747986,4.429723215747986,0.6721153846153846,4.2256936247133385,0.2932349557641872,False,observed_heldout
test_1B,stackexchange,64,0.01,3.544596343714017,3.5397619438479007,3.5397619438479007,0.7323260073260072,3.392127834697166,0.1850638288724093,False,observed_heldout
test_1B,gutenberg_pg_19,64,0.1,2.669301672884148,2.6634950920032288,2.6634950920032288,0.6536630036630036,2.643975708225561,0.17596964436180937,False,observed_heldout
test_1B,pile_cc,64,0.01,2.681493636789782,2.6790183143512776,2.6790183143512776,0.8875915750915748,2.7465366289585167,0.11519112602336826,True,observed_heldout
test_1B,ubuntu_irc,64,0.01,4.108484094455945,4.051388721318052,4.04710803646056,0.660989010989011,3.9330559135214953,0.7075013043195317,False,observed_heldout
test_1B,hackernews,64,0.001,2.3221611816054737,2.315920817130524,2.315920817130524,0.5690934065934066,2.263200894764307,0.17012737033415418,False,observed_heldout
test_1B,pubmed_abstracts,64,0.01,3.0290228765992704,3.0206811369132835,3.0206811369132835,0.6399725274725273,2.9798738128328357,0.224644287837439,False,observed_heldout
