,等权 · 无质量约束,等权 · direct,等权 · direct+near,保护最差目标
arxiv,-12.662522685114164,4.3622925767554666,5.938876295150141,1.9800466050266419
freelaw,0.2600191426950671,-1.612817684856549,-1.3196536441715256,1.9869779540858223
pubmed_central,-1.301106602876878,-1.404687225438006,-2.541312039057786,2.7365537722842226
wikipedia_en,-1.6627991142102339,-2.865875098946513,-1.7072716086070638,2.045986306094716
dm_mathematics,102.35219458836467,92.88902398854323,80.98803919151209,2.085757081322648
github,10.427019374064484,10.272175268913086,9.101305695959528,1.9784221015100245
stackexchange,3.2757171489722126,2.7753821051255345,2.7623729215847437,2.0102051066517967
gutenberg_pg_19,3.4533503416837363,1.6428189930562942,2.0249200368646303,2.036966476719637
pile_cc,2.5626084184149245,0.7459851870646128,2.281497285112366,4.76044375689354
ubuntu_irc,41.3009471510263,29.385576666701507,30.516821078661028,8.178758540313414
hackernews,8.425641045628318,6.032036561415522,5.961245569236673,7.322048967172279
pubmed_abstracts,-2.2113004557689386,-3.4479125187582893,-3.6360159294477556,2.04263841813479
uspto_backgrounds,-4.574251289616305,-4.884478561056893,-4.258142143303445,2.0479260802623522
