domain_i,domain_j,target,gamma_cross_partial_A_loss,gamma_over_positive_A_reference_loss,model_relation,same_sign_training_folds,training_fold_count,A4_both_domains_positive_rows,cross_partial_at_Q1_reference,pair_product_contribution_at_Q1_reference,cross_partial_at_ridge_equal_optimum,pair_product_contribution_at_ridge_equal_optimum,cross_partial_at_ridge_QA_direct,pair_product_contribution_at_ridge_QA_direct
freelaw,arxiv,arxiv,-7.064122212700032,-1.4836631438710102,complement_in_fitted_basis,5,5,216,-7.064122212700032,-0.0773054238468866,-7.064122212700032,-0.0,-7.064122212700032,-0.012999841585866239
freelaw,arxiv,freelaw,-6.849859795421642,-1.3522237628077995,complement_in_fitted_basis,5,5,216,-6.849859795421642,-0.07496066727509543,-6.849859795421642,-0.0,-6.849859795421642,-0.012605542421928188
freelaw,arxiv,pubmed_central,-1.1648763085748455,-0.2353358649862842,complement_in_fitted_basis,5,5,216,-1.1648763085748455,-0.012747692360372674,-1.1648763085748455,-0.0,-1.1648763085748455,-0.002143678580670199
freelaw,arxiv,wikipedia_en,-0.0364601748157183,-0.006325290902384035,complement_in_fitted_basis,3,5,216,-0.0364601748157183,-0.0003989978064922772,-0.0364601748157183,-0.0,-0.0364601748157183,-6.70963047532222e-05
freelaw,arxiv,dm_mathematics,-3.47799603058849,-0.9079678335600698,complement_in_fitted_basis,5,5,216,-3.47799603058849,-0.03806105687116451,-3.47799603058849,-0.0,-3.47799603058849,-0.006400426843215756
freelaw,arxiv,github,0.6804553208238618,0.13719478630678852,competition_in_fitted_basis,3,5,216,0.6804553208238618,0.0074464859753682125,0.6804553208238618,0.0,0.6804553208238618,0.0012522166393252373
freelaw,arxiv,stackexchange,1.103818429926975,0.2175439503978756,competition_in_fitted_basis,5,5,216,1.103818429926975,0.012079512359242529,1.103818429926975,0.0,1.103818429926975,0.002031316035672839
freelaw,arxiv,gutenberg_pg_19,-1.2445565539919081,-0.23135247804980102,complement_in_fitted_basis,5,5,216,-1.2445565539919081,-0.013619664129648677,-1.2445565539919081,-0.0,-1.2445565539919081,-0.0022903111751746545
freelaw,arxiv,pile_cc,-0.3587094787374053,-0.06358053269028328,complement_in_fitted_basis,5,5,216,-0.3587094787374053,-0.003925496679805021,-0.3587094787374053,-0.0,-0.3587094787374053,-0.0006601197230919054
freelaw,arxiv,ubuntu_irc,-1.1671278431992131,-0.1822653606702105,complement_in_fitted_basis,5,5,216,-1.1671278431992131,-0.012772331775320755,-1.1671278431992131,-0.0,-1.1671278431992131,-0.002147821996166218
freelaw,arxiv,hackernews,0.08184100157684218,0.015317902545340345,competition_in_fitted_basis,4,5,216,0.08184100157684218,0.0008956177603463777,0.08184100157684218,0.0,0.08184100157684218,0.00015060895376566943
freelaw,arxiv,pubmed_abstracts,0.16657340347547311,0.030928077369938814,competition_in_fitted_basis,3,5,216,0.16657340347547311,0.0018228772336553443,0.16657340347547311,0.0,0.16657340347547311,0.0003065388440911566
freelaw,arxiv,uspto_backgrounds,0.18213678471022818,0.03543873657947944,competition_in_fitted_basis,5,5,216,0.18213678471022818,0.0019931933389855153,0.18213678471022818,0.0,0.18213678471022818,0.0003351795561995232
freelaw,pubmed_central,arxiv,-2.851234637435685,-0.5988389807988421,complement_in_fitted_basis,5,5,238,-2.851234637435685,-0.031404155378173086,-2.851234637435685,-0.003034076303487368,-2.851234637435685,-0.0021042831495467866
freelaw,pubmed_central,freelaw,-6.7529956404774465,-1.3331019098076282,complement_in_fitted_basis,5,5,238,-6.7529956404774465,-0.0743790502462507,-6.7529956404774465,-0.007186046276694159,-6.7529956404774465,-0.0049838812802862975
freelaw,pubmed_central,pubmed_central,-6.629738839579291,-1.3393828279968918,complement_in_fitted_basis,5,5,238,-6.629738839579291,-0.07302147143600467,-6.629738839579291,-0.007054885363474792,-6.629738839579291,-0.004892914649272619
freelaw,pubmed_central,wikipedia_en,-0.2564583378697045,-0.044491656980987365,complement_in_fitted_basis,5,5,238,-0.2564583378697045,-0.002824691235419197,-0.2564583378697045,-0.0002729042904943243,-0.2564583378697045,-0.00018927272833124342
freelaw,pubmed_central,dm_mathematics,-3.235711488545686,-0.8447168784672672,complement_in_fitted_basis,5,5,238,-3.235711488545686,-0.035638872020935373,-3.235711488545686,-0.003443208574776496,-3.235711488545686,-0.0023880367728224975
freelaw,pubmed_central,github,-0.9292299866701239,-0.18735324061646605,complement_in_fitted_basis,3,5,238,-0.9292299866701239,-0.01023475321893936,-0.9292299866701239,-0.0009888188948144055,-0.9292299866701239,-0.0006857951910832991
freelaw,pubmed_central,stackexchange,-0.8475947654006745,-0.16704659806597166,complement_in_fitted_basis,4,5,238,-0.8475947654006745,-0.009335604078627628,-0.8475947654006745,-0.0009019486361792385,-0.8475947654006745,-0.0006255463366847979
